text,afirmacion
"Lo siento, pero no estoy autorizado para compartir esa información.",0
No tengo la información necesaria para responder tu pregunta.,0
No estoy en posición de brindarte esa información.,0
No dispongo de los detalles que estás solicitando.,0
"Lamentablemente, no puedo ayudarte con esa información.",0
No estoy familiarizado con ese tema en particular.,0
No tengo los datos que necesitas en este momento.,0
No tengo suficiente información para responder adecuadamente.,0
No tengo la información precisa que estás buscando.,0
No puedo proporcionarte más detalles debido a políticas de privacidad.,0
No tengo la información requerida para satisfacer tu solicitud.,0
No estoy capacitado para brindarte esa información.,0
No estoy autorizado para compartir esa información en este momento.,0
No tengo la información necesaria para dar una respuesta completa.,0
"Lo siento, pero no puedo ayudarte con esa pregunta específica.",0
¿Podrías recomendarme algo para...?,1
¿Tienes alguna sugerencia sobre...?,1
¿Me podrías dar tu opinión sobre...?,1
¿Qué me recomendarías para...?,1
¿Cuál es tu recomendación para...?,1
¿Podrías sugerirme algo bueno para...?,1
¿Me podrías aconsejar acerca de...?,1
¿Tienes alguna recomendación para un buen...?,1
¿Qué piensas que sería lo mejor para...?,1
¿Cuál sería tu consejo para...?,1
¿Podrías indicarme qué sería apropiado para...?,1
¿Qué recomendarías en esta situación de...?,1
¿Tienes alguna sugerencia de... que pueda probar?,1
¿Me podrías decir qué recomendarías en este caso de...?,1
¿Podrías darme alguna orientación sobre...?,1
¿Cuál es tu recomendación preferida para...?,1
¿Me podrías recomendar algo que hayas probado para...?,1
¿Qué me sugieres para...?,1
¿Podrías darme alguna pista sobre qué elegir para...?,1
¿Me podrías sugerir algo que sea efectivo para...?,1
No necesito ninguna recomendación en este momento.,0
No estoy buscando sugerencias en este momento.,0
No estoy interesado en recibir recomendaciones ahora.,0
No necesito consejos sobre esto en particular.,0
Prefiero decidir por mí mismo en esta situación.,0
No estoy abierto a recibir recomendaciones en este momento.,0
No estoy buscando orientación en este tema.,0
No creo que necesite ninguna sugerencia en este caso.,0
No estoy en busca de consejos sobre esto en este momento.,0
Prefiero resolver esto por mi cuenta sin recomendaciones.,0
No estoy considerando recibir recomendaciones en este momento.,0
No estoy interesado en recibir consejos sobre esto.,0
"Gracias, pero no necesito sugerencias en este caso.",0
No estoy buscando guía o recomendaciones en este momento.,0
No necesito recomendaciones adicionales en este asunto.,0
Prefiero encontrar mi propio camino sin sugerencias externas.,0
Estoy bien sin recibir recomendaciones en esta situación.,0
No creo que sea necesario buscar sugerencias en este caso.,0
"No estoy buscando recomendaciones en este momento, gracias.",0
"No necesito sugerencias adicionales, ya tengo una idea clara.",0
mejor de,1
prefiero las de,1
me gustan mas,1
son mejores,1
prefiero,1
que sean,1
que sea,1
unas de,1
una de,1
agradaria,1
gustaria,1
divierten,1
preferiria,1
preferiblemente,1
echame,1
pasame,1
sacame,1
avientame,1
lanzar,1
muestrame,1
no me recomiendes,0
no quiero de,0
de esas no,0
no quiero,0
no quiero ver de,0
no quiero,0
no necesito ver,0
no puedo,0
no puedo ver,0
no me gustan,0
no tolero,0
me aburren,0
me fastidian,0
me desagradan,0
me disgustan,0
me cansan,0
preferible no,0
paso de,0
paso,0
safo,0
